tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_uniform_eta0.04_loss_audit_B800_seed1,1,uniform,0.04,loss_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,117,0.14625,0.585,,32000,56000,0.9437772345626528,1.0,13.03566780741843,86.9819321925816,4677.489660024643,False,completed
audit_input_dep_eta0.04_none_seed2,2,input_dep,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.44999468593899455,0.9858,56.800378786268475,41.79562121373154,4381.9888298511505,False,completed
audit_input_dep_eta0.04_random_audit_B200_seed2,2,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,10,0.05,0.05,,,,0.4515889042406207,0.9868,56.55581507067701,42.14018492932299,3980.316941022873,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed2,2,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,17,0.0425,0.085,,,,0.46498033797427996,0.987,56.46013663513657,42.25826336486343,4203.386195898056,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed2,2,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,30,0.0375,0.15,,,,0.4617919013710277,0.9872,56.155398256987986,42.58040174301202,6081.859421253204,False,completed
audit_input_dep_eta0.04_region_audit_B200_seed2,2,input_dep,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,33,0.165,0.165,,,,0.47242002338186845,0.9876,55.88111790838559,42.89648209161441,10670.239195108414,False,completed
audit_input_dep_eta0.04_region_audit_B400_seed2,2,input_dep,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,66,0.165,0.33,,,,0.5268360080773727,0.9904,52.890313359549374,46.167286640450634,25972.95462012291,False,completed
audit_input_dep_eta0.04_region_audit_B800_seed2,2,input_dep,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,135,0.16875,0.675,,,,0.6820065894356467,0.9954,38.93039683281963,60.62780316718035,12335.92706823349,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed2,2,input_dep,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,82,0.41,0.41,,36000,70000,0.9347433308534382,1.0,15.181104984589222,84.83409501541078,5245.995011091232,False,completed
audit_input_dep_eta0.04_loss_audit_B400_seed2,2,input_dep,0.04,loss_audit,400,97,5000,256,512,134000,200000,2000,0.001,0.02,0.95,5,2000,200,400,108,0.27,0.54,126000,30000,48000,0.9538739504729514,1.0,10.428446508661917,56.58635349133809,4825.658411979675,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed2,2,input_dep,0.04,loss_audit,800,97,5000,256,512,116000,200000,2000,0.001,0.02,0.95,5,2000,200,800,140,0.175,0.7,108000,28000,44000,0.9556807312147944,1.0,9.093954384100329,48.92124561589967,9605.938645839691,True,completed
audit_uniform_eta0.04_none_seed2,2,uniform,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.44053565734934635,0.986,57.236876543734724,41.37772345626527,9159.397572994232,False,completed
audit_uniform_eta0.04_random_audit_B200_seed2,2,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,5,0.025,0.025,,,,0.44510574981400786,0.9866,56.84113010946965,41.83366989053034,4205.051841020584,False,completed
audit_uniform_eta0.04_random_audit_B400_seed2,2,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,13,0.0325,0.065,,,,0.4437240939525986,0.9874,56.67460114783719,42.08119885216282,4499.1360039711,False,completed
audit_uniform_eta0.04_random_audit_B800_seed2,2,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,40,0.05,0.2,,,,0.4596662769688596,0.9874,55.95230141354022,42.80369858645978,4232.949159860611,False,completed
audit_uniform_eta0.04_region_audit_B200_seed2,2,uniform,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,9,0.045,0.045,,,,0.44680624933574237,0.9864,56.91710205122755,41.73769794877245,40045.98536109924,False,completed
audit_uniform_eta0.04_region_audit_B400_seed2,2,uniform,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,17,0.0425,0.085,,,,0.4350090339037092,0.987,57.261379190137106,41.453820809862904,7611.12274312973,False,completed
audit_uniform_eta0.04_region_audit_B800_seed2,2,uniform,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,38,0.0475,0.19,,,,0.4644489318737379,0.9882,55.85401177595918,42.981188224040814,6057.584759950638,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed2,2,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,73,0.365,0.365,,40000,90000,0.9053034328834095,1.0,16.485125305558505,83.5308746944415,16931.260603904724,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed2,2,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,80,0.2,0.4,,40000,86000,0.9240089276224891,1.0,16.074879795940056,83.94112020405997,4238.089992046356,False,completed
audit_uniform_eta0.04_loss_audit_B800_seed2,2,uniform,0.04,loss_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,95,0.11875,0.475,,32000,52000,0.9260282708045489,1.0,13.403795047295143,86.61260495270484,4105.242209911346,False,completed
